DATE,BALANCE
2018-08-21,19189.56000000003
2018-08-22,19189.56000000003
2018-08-23,18667.94000000003
2018-08-24,26508.61000000003
2018-08-25,19498.62000000003
2018-08-26,19498.62000000003
2018-08-27,19498.62000000003
2018-08-28,20145.22000000003
2018-08-29,24109.02000000003
2018-08-30,24090.62000000003
2018-08-31,21106.480000000032
2018-09-01,20219.67000000003
2018-09-02,20219.67000000003
2018-09-03,20219.67000000003
2018-09-04,21588.390000000032
2018-09-05,21297.99000000003
2018-09-06,20217.99000000003
2018-09-07,20216.00000000003
2018-09-08,20123.78000000003
2018-09-09,20123.78000000003
2018-09-10,20123.78000000003
2018-09-11,19843.10000000003
2018-09-12,19832.03000000003
2018-09-13,19829.92000000003
2018-09-14,19298.390000000032
2018-09-15,19295.99000000003
2018-09-16,19295.99000000003
2018-09-17,19295.99000000003
2018-09-18,19828.49000000003
2018-09-19,19758.590000000033
2018-09-20,18720.550000000032
2018-09-21,18719.700000000033
2018-09-22,18402.37000000003
2018-09-23,18402.37000000003
2018-09-24,18402.37000000003
2018-09-25,22871.660000000033
2018-09-26,23048.520000000033
2018-09-27,22967.62000000003
2018-09-28,20767.76000000003
2018-09-29,20154.58000000003
2018-09-30,20154.58000000003
2018-10-01,20154.58000000003
2018-10-02,17824.45000000003
2018-10-03,26824.45000000003
2018-10-04,26696.35000000003
2018-10-05,26207.75000000003
2018-10-06,25488.75000000003
2018-10-07,25488.75000000003
2018-10-08,25488.75000000003
2018-10-09,25437.35000000003
2018-10-10,23259.44000000003
2018-10-11,22046.800000000032
2018-10-12,21834.08000000003
2018-10-13,21834.08000000003
2018-10-14,21834.08000000003
2018-10-15,21834.08000000003
2018-10-16,21328.03000000003
2018-10-17,21208.390000000032
2018-10-18,20419.160000000033
2018-10-19,21274.35000000003
2018-10-20,21046.20000000003
2018-10-21,21046.20000000003
2018-10-22,21046.20000000003
2018-10-23,19714.340000000033
2018-10-24,24717.00000000003
2018-10-25,24815.050000000032
2018-10-26,21815.050000000032
2018-10-27,20774.12000000003
2018-10-28,20774.12000000003
2018-10-29,20774.12000000003
2018-10-30,20691.750000000033
2018-10-31,20039.800000000032
2018-11-01,21305.130000000034
2018-11-02,21305.130000000034
2018-11-03,19520.480000000032
2018-11-04,19520.480000000032
2018-11-05,19520.480000000032
2018-11-06,20843.930000000033
2018-11-07,22780.710000000032
2018-11-08,21944.74000000003
2018-11-09,21267.340000000033
2018-11-10,21267.340000000033
2018-11-11,21267.340000000033
2018-11-12,21267.340000000033
2018-11-13,22288.62000000003
2018-11-14,20498.74000000003
2018-11-15,20711.460000000032
2018-11-16,18728.92000000003
2018-11-17,19154.390000000032
2018-11-18,19154.390000000032
2018-11-19,19154.390000000032
2018-11-20,19136.890000000032
2018-11-21,19136.890000000032
2018-11-22,19136.890000000032
2018-11-23,23991.980000000032
2018-11-24,22538.980000000032
2018-11-25,22538.980000000032
2018-11-26,22538.980000000032
2018-11-27,22848.520000000033
2018-11-28,22998.520000000033
2018-11-29,22937.31000000003
2018-11-30,22935.910000000033
2018-12-01,20674.33000000003
2018-12-02,20674.33000000003
2018-12-03,20674.33000000003
2018-12-04,20232.700000000033
2018-12-05,19642.51000000003
2018-12-06,19428.210000000032
2018-12-07,19428.210000000032
2018-12-08,19185.640000000032
2018-12-09,19185.640000000032
2018-12-10,19185.640000000032
2018-12-11,18562.700000000033
2018-12-12,18591.28000000003
2018-12-13,18591.28000000003
2018-12-14,18718.49000000003
2018-12-15,18295.270000000033
